,true,dynamix,parrot
Aizawa,2.196500331997922,2.1370507849290465,2.2303438320487015
AnishchenkoAstakhov,2.1239999623577868,1.6358528841382065,2.14849073302351
Arneodo,2.2144972869708983,1.7179502315561048,2.1408258778602045
ArnoldBeltramiChildress,2.3597832236738174,1.5598284020436535,2.3467313534364256
ArnoldWeb,2.8041987662981285,1.041223511538607,2.756339092917817
AtmosphericRegime,1.7037433646889328,2.304343601199066,1.9056442970215175
BeerRNN,1.9406640517875833,1.9459712218290088,1.9650553078204482
BelousovZhabotinsky,1.9790123030537965,2.0220429560528457,1.6733527534391222
BickleyJet,2.431118026453966,1.809044122084901,2.3832822364921924
Blasius,1.9323046403588826,1.8251266311145493,2.000616520402356
BlinkingRotlet,2.38777820553877,2.2103566321580566,2.3503978314986926
BlinkingVortex,2.506979394727699,1.8611550637454695,2.485032738232029
Bouali,2.2058445350398843,2.1487302921222073,2.2499134068349567
Bouali2,1.9413563104458926,1.7509746597131675,1.7149496932584731
BurkeShaw,2.242779647707816,2.1621373480300137,2.5110336205908386
CaTwoPlus,1.8148424279832711,1.6526863729660564,2.2006620992168755
CaTwoPlusQuasiperiodic,2.095782456646835,1.9006592688967061,2.315748173648243
CellCycle,1.5996020942380653,1.0446818857072904,1.672267409205
CellularNeuralNetwork,1.9358585838659974,1.712640380453812,2.146088071817638
Chen,2.1893606591996333,1.8630247071004438,2.506707169060777
ChenLee,1.7272518573282043,1.661404750036903,1.8328009817725068
Chua,2.1495688199486658,1.9836538292481092,2.357590079076353
CircadianRhythm,2.3499140345746863,3.1556197018375944,2.363679393596974
CoevolvingPredatorPrey,1.9566412256780636,1.476671524900211,1.9557835629638283
Colpitts,2.0988254481977977,1.7345723942934215,2.116038125912426
Dadras,2.053700333941815,2.0315874090387327,2.089331758642257
DequanLi,2.141297709289088,2.0880207168343388,2.2924837561252573
DoubleGyre,2.4377848372436617,1.0423898035091859,2.3736198688439973
DoublePendulum,2.8451631418954344,2.789453944237951,2.4544443461124246
Duffing,2.418254274761332,1.9205175721195444,2.260737545579368
ExcitableCell,1.7346972579489108,1.7181808718710352,1.818675678367549
Finance,2.27739163152565,2.037934349610403,2.1278680614048158
FluidTrampoline,2.4651927382337444,2.158573921369054,2.3848002516079045
ForcedBrusselator,2.3180632683752447,2.105249020942103,2.3131919628728905
ForcedFitzHughNagumo,2.073014274224593,1.7789345531518326,2.3091827826343563
ForcedVanDerPol,1.7795459237778783,1.977405894601971,1.8756529055362197
GenesioTesi,1.923301416134862,2.17087871145575,2.16004325913695
GlycolyticOscillation,1.6746274746441636,1.6418255151173287,1.6856024936585454
GuckenheimerHolmes,2.201101895492282,1.6635829226769394,2.335543646483006
Hadley,2.38473400381758,1.7250100432458284,2.3226602728972985
Halvorsen,2.1949981174278337,2.0841855847606525,2.434625353609497
HastingsPowell,1.907978738836726,1.7961538853480443,2.0766475706746803
HindmarshRose,1.9725266961172383,2.0719613973298046,2.057773067394213
Hopfield,2.0401855653245042,2.8572438872243944,2.791088536282894
HyperBao,2.4636108524732254,2.43437062561126,2.697456628627495
HyperCai,2.5898755831055658,2.517823406098309,2.5668759688065204
HyperJha,2.53443726017987,2.8557318245551597,2.8453349260324745
HyperLorenz,2.5184955791844876,2.8339414908337623,2.398934558098254
HyperLu,2.5258184471050353,2.482921977401654,2.583453190990025
HyperPang,2.5252871402320833,2.9192460972143826,2.519123376075024
HyperQi,2.480259509867201,2.1075102177502822,2.803928728200286
HyperRossler,2.2270712668121364,2.137926451384474,1.9236136049238666
HyperWang,2.607158846934158,2.2117142418155757,2.908845587222853
HyperXu,2.567721678906838,2.479742361656392,2.581753009674218
HyperYan,2.0896492601264196,2.674610738383354,2.0865695845578838
HyperYangChen,2.4655124652638896,2.518489628313369,2.5056430730281765
IkedaDelay,3.6898597488620624,3.3731987533444183,4.4449078090517995
InteriorSquirmer,2.473887032156727,2.3407883578785675,2.5124585321990827
IsothermalChemical,1.6691384872365118,1.637882498333258,1.6742995976135973
ItikBanksTumor,1.6186494358343846,1.6293362639249915,1.6575021621715218
JerkCircuit,1.930893689766136,1.962912423557689,1.9327179103729377
KawczynskiStrizhak,2.0006283296466645,2.2354980494632386,2.0190624452727306
Laser,1.9468262640725034,1.748827676670063,2.1541326327995707
LidDrivenCavityFlow,2.4869012025047317,2.200903026890794,2.408217127389374
LiuChen,1.667009590026896,1.0375505445363766,1.6874484223247994
