,true,dynamix,parrot
Aizawa,0.0038443384884329556,0.022094780991539227,0.01588132945060651
AnishchenkoAstakhov,0.004638611754332583,0.02545634284875306,0.004038748229199816
Arneodo,0.008843125189709856,0.024638081355702404,0.005706202541536281
ArnoldBeltramiChildress,0.027109511403475933,0.033233257212959104,0.022838845420697983
AtmosphericRegime,0.037187390796024435,0.017056292595974402,0.022232052687861565
BickleyJet,0.02124712901830466,0.02361257908456314,0.02291449193822231
Blasius,0.005446580571708143,0.02483343701292034,0.012389181289114782
BlinkingRotlet,0.016137158103606764,0.02433670762394196,0.017757362007982426
BlinkingVortex,0.019614077943247078,0.02714935701986525,0.015363753378732699
Bouali,0.006795830337816894,0.02343890295793858,0.016263183008798397
Bouali2,0.001746462105950258,0.02161280476716178,0.023502835171861115
BurkeShaw,0.018557342015942436,0.029163455868616902,0.012509690962961654
CaTwoPlus,0.013821177908502402,0.023004065171304378,0.004219378761893144
CaTwoPlusQuasiperiodic,0.01684636090831014,0.031204337287397025,0.014297667320889494
CellularNeuralNetwork,0.022991492488727415,0.033180070822746696,0.015041142761091003
Chen,0.021112148682377156,0.027798288880305604,0.013965918066236515
ChenLee,0.013732487236964555,0.0310873851026527,0.02014120665879479
Chua,0.007578164340496053,0.02377099208316286,0.011397778670681862
CircadianRhythm,0.011305351814693151,0.008688445097980455,0.014104183703921625
Colpitts,0.006251001755987918,0.025800100720132994,0.013068771618590595
Dadras,0.0296585134929255,0.033916584191819914,0.010276387941310881
DequanLi,0.007290089942877795,0.0201848598544489,0.011749766839249205
DoublePendulum,0.013892949312324116,0.013067449871517917,0.009664410007263554
Duffing,0.02478987388024327,0.03267136895384836,0.011332649022483219
ExcitableCell,0.016095615766091642,0.03820152625256697,0.03320749534273155
Finance,0.01543823002108697,0.03363292644992342,0.011450765304020307
FluidTrampoline,0.020694789497881616,0.03677439408023751,0.021719457223781744
ForcedBrusselator,0.007778551993901075,0.023730660904356052,0.008802189312081606
ForcedFitzHughNagumo,0.03957325723024986,0.036850106412231076,0.014454212625666103
GuckenheimerHolmes,0.001149762189236719,0.020887722995557932,0.006354214529678811
Hadley,0.012741381536554162,0.0256549179488399,0.028723227230998724
Halvorsen,0.017593949999210233,0.029398781414271626,0.00886407318942152
HastingsPowell,0.010855161329377895,0.03176118703942433,0.01129713788602549
HindmarshRose,0.011675002692349092,0.02186022243333869,0.021450813269607252
Hopfield,0.018244373798043712,0.017224531212606815,0.014086261714179855
HyperBao,0.015186324399548144,0.019075258138622236,0.015089158991493053
HyperCai,0.01732045665341978,0.019884274174322435,0.011955472348092572
HyperJha,0.01280202044715228,0.017496964575615767,0.015673650740676164
HyperLorenz,0.015470558147471726,0.011864492232329335,0.005499741795628996
HyperLu,0.015342434993276768,0.02031707801518675,0.01661281344270971
HyperPang,0.015242793515222171,0.01685213011844542,0.018658775237330463
HyperQi,0.014536559285053154,0.020545903663270897,0.01632678139917189
HyperWang,0.012518389824728568,0.027977896345937243,0.01359125704946603
HyperXu,0.016507894245751123,0.020305457359313887,0.011327610261154732
HyperYangChen,0.012536327422830847,0.020458836471880484,0.02845849569371859
IkedaDelay,0.01306986650873036,0.01325901605225492,0.007752790737467673
InteriorSquirmer,0.009933538849782375,0.016994462747776575,0.007394233765454084
ItikBanksTumor,0.04251805610182519,0.03996333738974501,0.050561386784581844
Laser,0.020871882791877933,0.024425476107561416,0.022141422764307677
LidDrivenCavityFlow,0.018275111964922132,0.02661223865740051,0.014611236562846595
Lorenz96,0.03449874286692423,0.014919135301204834,0.01106859369875836
LorenzCoupled,0.0204433034223059,0.016137392392063455,0.0024653663397392303
LorenzStenflo,0.02015327304271555,0.0187811930016372,0.01977060052924905
LuChen,0.022355492702705256,0.030846867933743884,0.00652529498927096
MacArthur,0.01434038700338546,0.008123645165800128,0.013636375080609574
MackeyGlass,0.00033221905904158247,0.011542857251338677,0.014439510761061366
MultiChua,0.008557301474159729,0.012886262635928576,0.0022714576505604473
NewtonLiepnik,0.018645357012927546,0.03133171195949702,-0.0033696260200353385
NoseHoover,0.0005139990249713824,0.020208028415846402,0.00821691988211693
NuclearQuadrupole,0.018293234116626377,0.018237842506892567,0.011810067544442337
OscillatingFlow,0.014047021689987088,0.03505738283984432,0.00885449477334758
PiecewiseCircuit,0.03764713522291349,0.0019010404161558514,0.0176872757377281
Qi,0.016450150488165064,0.016088535709182505,0.015117801861530026
QiChen,0.017381653766906643,0.027706799540050363,0.017179795558573838
RabinovichFabrikant,0.011738492965398094,0.02271424015178979,0.015657718964915163
RayleighBenard,0.019634526844841023,0.032329487396428505,0.01249831243739002
RikitakeDynamo,0.01106623808619443,0.024442171351375525,0.012910923331000903
Rossler,0.004601386693173061,0.021675151082918613,0.0062971584799218884
Rucklidge,0.01804057468550596,0.032063782969052185,0.015445799985158054
Sakarya,0.016146553844541982,0.02730625858576249,0.008344743561945192
SaltonSea,0.009656692034067169,0.0237799007347724,0.016716732247539036
SanUmSrisuchinwong,0.017339015327229285,0.027082493386586852,0.013459652426614616
ShimizuMorioka,0.020489953818642912,0.026179069909909987,0.020744046884578145
SprottA,0.00703181917313545,0.027890507713058506,0.024959126101678566
SprottD,0.009246207247607234,0.03238478818616824,0.009919930851742698
SprottE,0.020085164151307518,0.028786549430747897,0.022311157476150596
SprottJ,0.007565956002662189,0.028918639055860465,0.013472716607257804
SprottN,0.007844845473785396,0.027577088041296164,0.011964805802241005
SprottP,0.010238869426246236,0.025550699792963243,0.00987414024805097
SprottTorus,0.02894946252097873,0.030467287736021212,0.019154783331362796
StickSlipOscillator,0.011495379685119034,0.03138680526804087,0.029010778019928986
ThomasLabyrinth,0.04090438916433102,0.04239618427075701,0.016823035817461612
Tsucs2,0.004317075457688411,0.024435683316887648,0.01640554831106164
TurchinHanski,0.006841168314475763,0.02397063680401578,0.003075635311884995
VallisElNino,0.02258677974019909,0.03249015711683302,0.014779550233752863
WindmiReduced,0.006677209526325813,0.02961409758588739,0.005082715148352596
YuWang,0.026395800602294104,0.04187422087787397,0.013471066342892253
YuWang2,0.006134366460272956,0.023347057626483557,0.008856267412764096
